GEOID,Geo_QName,Geo_STUSAB,Geo_STATE,Geo_COUNTY,Geo_TRACT,tot_pop,pop_dens,area,pop_male,pop_female,perc_male,perc_female,pop_under5,pop_5to9,pop_10to14,pop_15to17,pop_18to24,pop_25to34,pop_35to44,pop_45to54,pop_55to64,pop_65to74,pop_75to84,pop_85andover,perc_under5,perc_5to9,perc_10to14,perc_15to17,perc_18to24,perc_25to34,perc_35to44,perc_45to54,perc_55to64,perc_65to74,perc_75to84,perc_85andover,pop_white,pop_blackaa,pop_nativeamerican,pop_asian,pop_hawaiipacificislander,pop_race_other,pop_2ormoreraces,perc_white,perc_blackaa,perc_nativeamerican,perc_asian,perc_hawaiipacificislander,perc_race_other,perc_2ormoreraces,pop_nothispanic,pop_hispanic,perc_nothispanic,perc_hispanic,tot_pop_over25,pop25plus_lessthanhs,pop25plus_hsgrad,pop25plus_somecollege,pop25plus_bachelors,pop25plus_masters,pop25plus_profschooldegree,pop25plus_doctorate,perc25plus_lessthanhs,perc25plus_hsgrad,perc25plus_somecollege,perc25plus_bachelors,perc25plus_masters,perc25plus_profschooldegree,perc25plus_doctorate,tot_pop_over3,pop3plus_enrolledinschool,pop3plus_notenrolledinschool,perc3plus_enrolledinschool,perc3plus_notenrolledinschool,median_hhi,mean_hhi,percapita_income,gini,housing_units,housing_units_occupied,housing_units_vacant,perc_housing_units_occupied,perc_housing_units_vacant,occupied_housing_units,heat_type_gas,heat_type_electric,heat_type_fueloil,heat_type_coal,heat_type_solar,heat_type_other,heat_type_nofuel,perc_heat_type_gas,perc_heat_type_electric,perc_heat_type_fueloil,perc_heat_type_coal,perc_heat_type_solar,perc_heat_type_other,perc_heat_type_nofuel,median_gross_rent,tot_workers,workers_cartruckvan,workers_drovealone,workers_carpool,workers_publictransit,workers_motorcycle,workers_bicycle,workers_walked,workers_other,workers_wfh,perc_workers_cartruckvan,perc_workers_drovealone,perc_workers_carpool,perc_workers_publictransit,perc_workers_motorcycle,perc_workers_bicycle,perc_workers_walked,perc_workers_other,perc_workers_wfh,avg_commute,no_vehicle,1_vehicle,2_vehicle,3_vehicle,4_vehicle,5ormore_vehicle,perc_no_vehicle,perc_1_vehicle,perc_2_vehicle,perc_3_vehicle,perc_4_vehicle,perc_5ormore_vehicle
53071920801,"Census Tract 9208.01, Walla Walla County, Washington",wa,53,071,920801,5088,3573.571,1.423785747,2702,2386,53.11,46.89,139,271,451,289,731,828,552,770,261,566,167,63,2.73,5.33,8.86,5.68,14.37,16.27,10.85,15.13,5.13,11.12,3.28,1.24,3851,62,63,71,0,272,769,75.69,1.22,1.24,1.4,0,5.35,15.11,3882,1206,76.3,23.7,3207,269,680,1234,619,332,56,17,8.39,21.2,38.48,19.3,10.35,1.75,0.53,4949,1605,3344,32.43,67.57,54572,79822.62198,32262,0.4825,2135,2029,106,95.04,4.96,2029,1071,919,0,39,0,0,0,52.78,45.29,0,1.92,0,0,0,1113,2773,2167,1963,204,0,0,16,47,93,450,78.15,70.79,7.36,0,0,0.58,1.69,3.35,16.23,11,94,719,658,290,122,146,4.63,35.44,32.43,14.29,6.01,7.2
53071920802,"Census Tract 9208.02, Walla Walla County, Washington",wa,53,071,920802,3249,6449.996,0.503721253,1537,1712,47.31,52.69,84,30,38,58,1462,156,184,259,279,314,173,212,2.59,0.92,1.17,1.79,45,4.8,5.66,7.97,8.59,9.66,5.32,6.53,2483,101,18,224,42,168,213,76.42,3.11,0.55,6.89,1.29,5.17,6.56,2832,417,87.17,12.83,1577,146,276,473,283,213,46,140,9.26,17.5,29.99,17.95,13.51,2.92,8.88,3203,1318,1885,41.15,58.85,44662,75268.03279,28377,0.5191,1088,976,112,89.71,10.29,976,433,505,17,0,0,0,21,44.36,51.74,1.74,0,0,0,2.15,794,1457,769,693,76,17,0,73,447,0,151,52.78,47.56,5.22,1.17,0,5.01,30.68,0,10.36,13,221,274,343,62,47,29,22.64,28.07,35.14,6.35,4.82,2.97
53071920901,"Census Tract 9209.01, Walla Walla County, Washington",wa,53,071,920901,4207,499.6079,8.420602721,2009,2198,47.75,52.25,223,239,435,379,590,327,336,701,340,416,116,105,5.3,5.68,10.34,9.01,14.02,7.77,7.99,16.66,8.08,9.89,2.76,2.5,3245,0,31,116,0,434,381,77.13,0,0.74,2.76,0,10.32,9.06,3351,856,79.65,20.35,2341,98,489,1026,431,224,32,41,4.19,20.89,43.83,18.41,9.57,1.37,1.75,4074,1535,2539,37.68,62.32,77656,98556.5337,34519,0.3756,1532,1454,78,94.91,5.09,1454,771,683,0,0,0,0,0,53.03,46.97,0,0,0,0,0,1237,1991,1531,1275,256,30,0,0,3,32,395,76.9,64.04,12.86,1.51,0,0,0.15,1.61,19.84,18,0,327,485,418,66,158,0,22.49,33.36,28.75,4.54,10.87
53071920902,"Census Tract 9209.02, Walla Walla County, Washington",wa,53,071,920902,5583,239.7299,23.28870713,2478,3105,44.38,55.62,320,269,388,168,172,427,927,471,895,896,379,271,5.73,4.82,6.95,3.01,3.08,7.65,16.6,8.44,16.03,16.05,6.79,4.85,5145,0,6,140,0,90,202,92.15,0,0.11,2.51,0,1.61,3.62,5333,250,95.52,4.48,4266,153,782,1653,993,505,116,64,3.59,18.33,38.75,23.28,11.84,2.72,1.5,5474,886,4588,16.19,83.81,111429,132779.4176,48249,0.3868,2071,2026,45,97.83,2.17,2026,1305,610,0,53,36,22,0,64.41,30.11,0,2.62,1.78,1.09,0,1646,2350,1947,1773,174,0,34,0,7,0,362,82.85,75.45,7.4,0,1.45,0,0.3,0,15.4,16,16,383,863,515,92,157,0.79,18.9,42.6,25.42,4.54,7.75
53073000101,"Census Tract 1.01, Whatcom County, Washington",wa,53,073,000101,3442,131.6104,26.15294279,1776,1666,51.6,48.4,78,130,316,131,109,305,268,408,1071,308,255,63,2.27,3.78,9.18,3.81,3.17,8.86,7.79,11.85,31.12,8.95,7.41,1.83,3008,22,12,140,0,62,198,87.39,0.64,0.35,4.07,0,1.8,5.75,3346,96,97.21,2.79,2678,307,271,1120,523,272,136,49,11.46,10.12,41.82,19.53,10.16,5.08,1.83,3364,703,2661,20.9,79.1,96279,101725.1768,41328,0.3665,1496,1414,82,94.52,5.48,1414,639,295,97,364,0,19,0,45.19,20.86,6.86,25.74,0,1.34,0,2083,1539,1373,1246,127,0,0,11,0,8,147,89.21,80.96,8.25,0,0,0.71,0,0.52,9.55,18,7,171,467,450,275,44,0.5,12.09,33.03,31.82,19.45,3.11
53073000102,"Census Tract 1.02, Whatcom County, Washington",wa,53,073,000102,7592,1034.608,7.338047898,3537,4055,46.59,53.41,438,367,110,180,1015,1649,811,975,541,935,431,140,5.77,4.83,1.45,2.37,13.37,21.72,10.68,12.84,7.13,12.32,5.68,1.84,5012,69,55,1138,0,482,836,66.02,0.91,0.72,14.99,0,6.35,11.01,6179,1413,81.39,18.61,5482,514,1315,1801,906,458,100,388,9.38,23.99,32.85,16.53,8.35,1.82,7.08,7272,1291,5981,17.75,82.25,61846,83499.97266,39214,0.405,3681,3657,24,99.35,0.65,3657,1142,2393,18,86,0,0,18,31.23,65.44,0.49,2.35,0,0,0.49,1469,4461,4023,3229,794,21,0,155,21,0,241,90.18,72.38,17.8,0.47,0,3.47,0.47,0,5.4,17,138,1664,1316,508,20,11,3.77,45.5,35.99,13.89,0.55,0.3
53073000201,"Census Tract 2.01, Whatcom County, Washington",wa,53,073,000201,4144,468.9908,8.835994607,2155,1989,52,48,492,195,205,103,512,739,575,309,441,348,217,8,11.87,4.71,4.95,2.49,12.36,17.83,13.88,7.46,10.64,8.4,5.24,0.19,3307,0,45,119,26,370,277,79.8,0,1.09,2.87,0.63,8.93,6.68,3774,370,91.07,8.93,2637,121,512,1076,651,64,120,93,4.59,19.42,40.8,24.69,2.43,4.55,3.53,3705,628,3077,16.95,83.05,75143,95114.60739,42525,0.4905,1799,1732,67,96.28,3.72,1732,427,1205,0,65,0,35,0,24.65,69.57,0,3.75,0,2.02,0,1354,2046,1887,1771,116,7,0,0,0,0,152,92.23,86.56,5.67,0.34,0,0,0,0,7.43,19,43,492,898,203,66,30,2.48,28.41,51.85,11.72,3.81,1.73
53073000202,"Census Tract 2.02, Whatcom County, Washington",wa,53,073,000202,3167,653.6143,4.845365307,1683,1484,53.14,46.86,235,222,85,101,214,438,657,267,278,238,272,160,7.42,7.01,2.68,3.19,6.76,13.83,20.75,8.43,8.78,7.51,8.59,5.05,2729,1,40,188,0,48,161,86.17,0.03,1.26,5.94,0,1.52,5.08,2798,369,88.35,11.65,2310,38,497,1024,493,177,65,16,1.65,21.52,44.33,21.34,7.66,2.81,0.69,3084,645,2439,20.91,79.09,65043,93043.99696,41475,0.5127,1421,1316,105,92.61,7.39,1316,584,701,0,20,11,0,0,44.38,53.27,0,1.52,0.84,0,0,1152,1335,1152,974,178,57,0,16,0,0,110,86.29,72.96,13.33,4.27,0,1.2,0,0,8.24,20,97,505,549,56,91,18,7.37,38.37,41.72,4.26,6.91,1.37
53073000203,"Census Tract 2.03, Whatcom County, Washington",wa,53,073,000203,3059,1056.918,2.8942632170000002,1373,1686,44.88,55.12,201,33,56,0,593,705,92,276,132,467,343,161,6.57,1.08,1.83,0,19.39,23.05,3.01,9.02,4.32,15.27,11.21,5.26,2654,109,0,127,0,0,169,86.76,3.56,0,4.15,0,0,5.52,3035,24,99.22,0.78,2176,4,677,668,516,266,28,17,0.18,31.11,30.7,23.71,12.22,1.29,0.78,2960,533,2427,18.01,81.99,51684,66296.99499,38755,0.4536,1911,1797,114,94.03,5.97,1797,615,1182,0,0,0,0,0,34.22,65.78,0,0,0,0,0,1474,1498,1413,1413,0,0,0,0,13,0,72,94.33,94.33,0,0,0,0,0.87,0,4.81,17,99,856,758,84,0,0,5.51,47.63,42.18,4.67,0,0
53073000301,"Census Tract 3.01, Whatcom County, Washington",wa,53,073,000301,4701,2992.242,1.571062491,2411,2290,51.29,48.71,298,104,156,121,416,800,556,484,804,447,459,56,6.34,2.21,3.32,2.57,8.85,17.02,11.83,10.3,17.1,9.51,9.76,1.19,4266,0,0,88,0,20,327,90.75,0,0,1.87,0,0.43,6.96,4428,273,94.19,5.81,3606,196,1127,1304,633,332,0,14,5.44,31.25,36.16,17.55,9.21,0,0.39,4501,432,4069,9.6,90.4,65719,93713.45811,46878,0.4169,2350,2244,106,95.49,4.51,2244,1181,1063,0,0,0,0,0,52.63,47.37,0,0,0,0,0,1356,2551,1873,1738,135,249,0,94,64,0,271,73.42,68.13,5.29,9.76,0,3.68,2.51,0,10.62,19,259,460,1066,250,112,97,11.54,20.5,47.5,11.14,4.99,4.32
